開催日,地域,会場,開場,開演,終演
2025/04/28,兵庫県,赤穂化成 ハーモニーホール,18:30:00,19:00:00,20:30:00
2025/04/29,鳥取県,わらべ館,14:30:00,15:00:00,16:30:00
2025/04/30,島根県,島根県民会館 ,18:30:00,19:00:00,20:30:00
2025/05/01,山口県,山口情報 芸術センター,18:30:00,19:00:00,20:30:00
2025/05/02,福岡県,九州工業大学 飯塚キャンパス,17:30:00,18:00:00,19:30:00
2025/05/04,沖縄県,琉球新報ホール,13:30:00,14:00:00,15:30:00
2025/05/05,大分県,大分県立美術館,10:00:00,14:00:00,15:30:00
2025/05/06,宮崎県,みやざきアートセンター,15:30:00,16:00:00,17:30:00
2025/05/07,鹿児島県,鹿児島市中央公民館,18:30:00,19:00:00,20:30:00
2025/05/08,熊本県,熊本市男女共同参画センター はあもにい,18:00:00,18:30:00,20:00:00
2025/05/13,長崎県,長崎県美術館,20:00:00,20:15:00,21:45:00
2025/05/14,佐賀県,佐賀県立美術館,18:30:00,19:00:00,20:30:00
2025/05/16,広島市,エリザベト音楽大学,17:30:00,18:00:00,19:30:00
2025/05/17,呉市,大和波止場 呉ご当地キャラ祭,,,
2025/05/18,岡山県,たいこまるプラザ ,15:30:00,16:00:00,17:30:00
2025/05/19,香川県,サンポートホール高松,18:30:00,19:00:00,20:30:00
2025/05/20,愛媛県,愛媛県総合科学博物館,18:30:00,19:00:00,20:30:00
2025/05/21,高知県,高知県立県民文化ホール,18:30:00,19:00:00,20:30:00
2025/05/22,徳島県,ダイアログ･ハブ神山 LLC,18:30:00,19:00:00,20:30:00